"itemid","similar_item"
"117489","212772"
"123139","229092"
"139061","221000"
"145424","210135"
"147003","205456"
"154577","218083"
"155733","156352"
"155937","155938"
"155938","155937"
"155995","201747"
"156352","155733"
"157831","212447"
"158567","210424"
"159274","200987"
"159331","201909"
"160450","195451"
"160810","213636"
"160853","213770"
"160854","207325"
"161149","212551"
"161404","211637"
"162496","187713"
"162955","162956"
"162956","162955"
"163364","202221"
"163661","221584"
"165983","221650"
"165999","221081"
"166100","232613"
"166151","173554"
"166636","186893"
"166874","207989"
"167078","202774"
"167132","222323"
"167267","186281"
"168209","208588"
"168881","183255"
"168987","192366"
"169077","197544"
"169238","223369"
"169268","208499"
"169358","217279"
"170028","204755"
"170691","212900"
"171207","203689"
"171240","224896"
"171311","229940"
"171384","202666"
"171475","205498"
"171485","187453"
"171502","201518"
"171760","223711"
"171764","166874"
"171843","218324"
"171946","229447"
"172278","185639"
"172383","212571"
"172397","203544"
"172440","165999"
"172469","206897"
"172561","224195"
"172701","201260"
"172915","201773"
"173422","210384"
"173554","166151"
"173573","200545"
"173579","201015"
"173583","204681"
"173771","210352"
"173834","229429"
"173835","205597"
"173967","226316"
"174136","225298"
"174204","204139"
"174205","213908"
"174273","209069"
"174338","220233"
"174339","219552"
"174340","209020"
"174342","185609"
"174343","215244"
"174454","203098"
"174465","187614"
"174495","202213"
"174616","228042"
"174683","225790"
"174784","205774"
"174895","224955"
"174969","186688"
"180043","214541"
"180059","195626"
"180184","199846"
"180300","203281"
"180302","206499"
"180304","222669"
"180376","222046"
"180441","215339"
"180494","223489"
"180590","207498"
"180953","213539"
"181045","212469"
"181088","225311"
"181126","182110"
"181242","203155"
"181246","207017"
"181266","207017"
"181273","194944"
"181397","222249"
"181472","193491"
"181496","181497"
"181497","181496"
"181634","219731"
"181661","226027"
"181705","207013"
"181833","186314"
"181958","181496"
"182003","208238"
"182040","208597"
"182043","217231"
"182045","219163"
"182049","225981"
"182050","225084"
"182053","183732"
"182054","183730"
"182057","220797"
"182058","223718"
"182110","181126"
"182162","214949"
"182293","230273"
"182294","218239"
"182321","222428"
"182322","209898"
"182418","224904"
"182419","215817"
"182582","209720"
"182680","182681"
"182681","182680"
"182684","193004"
"182685","182681"
"182695","222051"
"182813","220692"
"182944","184583"
"183048","196591"
"183079","208146"
"183080","209611"
"183082","206656"
"183175","202386"
"183255","168881"
"183256","207086"
"183289","198877"
"183363","212284"
"183463","155937"
"183464","217435"
"183484","203155"
"183505","207548"
"183718","213019"
"183719","183731"
"183730","182054"
"183731","227212"
"183732","182053"
"183733","226631"
"183747","204875"
"183813","218695"
"183814","221355"
"183815","183820"
"183816","217015"
"183818","205078"
"183819","183820"
"183820","183819"
"183821","183820"
"183865","201921"
"183950","211586"
"184002","220842"
"184103","228669"
"184106","214502"
"184111","194452"
"184162","212775"
"184220","210472"
"184224","218436"
"184479","201884"
"184583","216714"
"184589","213750"
"184590","203712"
"184612","208933"
"184648","225184"
"184804","223465"
"184805","191931"
"184810","197781"
"184833","202541"
"184864","196899"
"184907","186311"
"184933","224182"
"184934","222525"
"185040","210424"
"185042","205122"
"185045","222627"
"185110","205714"
"185133","208455"
"185165","205542"
"185178","229587"
"185184","209233"
"185186","190763"
"185187","207964"
"185188","218901"
"185189","215024"
"185202","224144"
"185203","219199"
"185204","200567"
"185206","204673"
"185208","222265"
"185289","219204"
"185292","204744"
"185314","218875"
"185315","185339"
"185318","216268"
"185319","197871"
