"user_id","itemid","similar_item"
"10000250","15534","22556"
"10000250","16331","17348"
"10000250","19974","19328"
"10000250","4578","17331"
"10000250","4761","2613"
"10000250","7059","7037"
"10000250","9563","5429"
"10018000","12220","11448"
"10018000","18730","14182"
"10018000","24844","1771"
"10018000","2655","16768"
"10018000","27791","28463"
"10018000","642","10368"
"10018000","7868","9899"
"10052000","10893","22393"
"10052000","12610","7680"
"10052000","12754","7680"
"10052000","1548","18080"
"10052000","16463","8628"
"10052000","16754","16463"
"10052000","20180","27977"
"10052000","21110","7680"
"10052000","22126","12795"
"10052000","22280","12610"
"10052000","25372","14248"
"10052000","360","11793"
"10052000","6548","16361"
"10052000","7680","21110"
"10054250","10171","11904"
"10054250","1079","19660"
"10054250","11159","1079"
"10054250","11687","241"
"10054250","12606","10948"
"10054250","13020","13247"
"10054250","13067","16609"
"10054250","14261","17061"
"10054250","18180","26614"
"10054250","19660","1079"
"10054250","20297","10690"
"10054250","21110","7680"
"10054250","21372","16376"
"10054250","21975","11888"
"10054250","25372","14248"
"10054250","25917","10948"
"10054250","29203","22359"
"10054250","4667","1079"
"10054250","679","11519"
"10054250","7680","21110"
"10054250","949","11776"
"10057000","21110","7680"
"10057000","239","10393"
"10057000","27625","10948"
"10057000","6839","17449"
"10063000","10893","22393"
"10063000","11849","1000"
"10063000","14930","10308"
"10063000","15269","23198"
"10063000","18730","14182"
"10063000","18805","17214"
"10063000","22393","14930"
"10063000","26699","13757"
"10063000","27638","2739"
"10063000","4147","29490"
"10063000","679","11519"
"10063000","6880","9472"
"10063000","8689","4949"
"10064500","11776","3047"
"10064500","12220","11448"
"10064500","19974","19328"
"10064500","20154","24459"
"10064500","20411","16865"
"10064500","21865","10171"
"10064500","2436","22732"
"10064500","25830","28059"
"10064500","2683","12220"
"10064500","28662","27407"
"10064500","29231","17926"
"10064500","489","28662"
"10064500","5310","17748"
"10064500","5799","11029"
"10069500","10740","14408"
"10069500","14408","10740"
"10069500","15192","15931"
"10069500","18084","10740"
"10069500","18519","10740"
"10069500","19973","10740"
"10069500","22393","14930"
"10069500","2257","10740"
"10069500","23662","10393"
"10069500","24447","10740"
"10069500","4571","19416"
"10069500","6665","10740"
"10069500","8637","10895"
"10095000","10584","3051"
"10095000","1222","11793"
"10095000","12977","14922"
"10095000","13494","8278"
"10095000","14048","9912"
"10095000","14261","17061"
"10095000","14482","5336"
"10095000","16463","8628"
"10095000","16500","10151"
"10095000","17959","1731"
"10095000","18805","17214"
"10095000","19973","10740"
"10095000","20207","20484"
"10095000","21092","1962"
"10095000","21796","1335"
"10095000","2198","1041"
"10095000","22393","14930"
"10095000","24541","10151"
