resource	±¨´í´ÎÊý
ec.addresses	1322
ec.app.cms.adfloor	58
ec.app.cms.adposition	12
ec.app.cms.newmember.zone.adfloor	4
ec.app.cms.news	45
ec.app.home.animotiontheme	5
ec.app.home.baseconfig	10
ec.app.home.ecconfig	55
ec.app.home.limitedtimesale.goods	4
ec.app.home.tvconfig	8
ec.app.launchscreen	12
ec.app.live.banner	3
ec.app.live.channel	4
ec.app.live.hotsection	1
ec.app.live.tv.hotgoods	2
ec.app.live.tv.livegoods	3
ec.app.live.tv.newgoods	2
ec.app.newandhot	60
ec.app.search.filter	3
ec.app.search.goods	14
ec.app.search.hotclass	3
ec.app.search.hotkey	1
ec.app.sendVoucher	202
ec.app.version	7
ec.app.zt.detail/undefined	15
ec.brand	1
ec.brandzt.summary	2
ec.brandzt/undefined	6
ec.cashier	18
ec.cashier.payment	10
ec.cms.defaultsearch	22
ec.distribution.distributor	38
ec.distribution.distributor.account	41
ec.distribution.distributor.withdrawcash	3
ec.distribution.order	56
ec.distribution.relation	14
ec.favorites	230
ec.goods	26
ec.goods.class	19
ec.goods.class.hotbrand	12
ec.goods.class.recommend	3
ec.goods.comments	385
ec.goods.comments.recommend	2
ec.goods.gift	3
ec.goods.outstocklog	163
ec.goods.qa	2174
ec.goods.recommend	4
ec.goods.refvoucher	3
ec.goods.similarity.detail	1
ec.goods/undefined	24
ec.historyorders	3
ec.home.channel.adfloor	6
ec.home.channel.carousel	7
ec.home.channel.floor	6
ec.home.channel.goods	5
ec.home.recommend.floor	45
ec.home.recommend.goods	53
ec.home.tvgo.live.setting	5
ec.jsonapi.ticket	1
ec.member	345
ec.member.account	38
ec.member.assets.summary	2854
ec.member.assets.voucher	69
ec.member.auth	84353
ec.member.authbyopenid	1063
ec.member.authbyopenid.verifycode	2628
ec.member.authbysms	340
ec.member.mobile	4
ec.member.newtag	68
ec.member.orders.summary	66
ec.member.password	13
ec.member.query	48
ec.member.summary	276
ec.member.tax	463
ec.member.tierLevel	643
ec.message.group	5
ec.message.unread	3
ec.messagecenter	81
ec.order.recommend	52
ec.order.share.reward	343
ec.orders	17582
ec.orders.confirm	1781
ec.orders.delete	473
ec.orders.goods	2
ec.orders.logistics	57
ec.orders.logistics.pakeage	69
ec.orders.payment	94
ec.orders.refund	2
ec.orders/undefined	2
ec.payment.notify	1
ec.rec.home.goods	6
ec.return.goods	3544
ec.return.goods.apply	1
ec.return.goods.info	2
ec.return.goods/null	1
ec.return.progress.detail	3
ec.shipping.addresses/zone	185
ec.shoppingcart	693
ec.shoppingcart.goods	4
ec.shoppingcart.recommend.goods	1
ec.store.onlineservice	1398
ec.store.onlineservice.lastmessage	14
ec.store.promotions	2
ec.store.recommend	45
ec.store.summary	2804
ec.store.voucher	1
ec.super.ad	1
ec.supplier.summary	122
ec.tv.live.current	9
ec.tv.live.goods	30
ec.tv.liveroom	1
ec.tv.liveroom.goods	1
ec.verifycode	1093
ec.verifycode.repeattime	1
ec.voucher.list	18
ha.activity.score	610
ha.activity.user	120
ha.activity.user.answer	1
ha.activity.user.score	1343
ha.user	12
